Name,Region,Meal_Type,Diet_Type,Calories,Protein,Carbs,Fats
Brown Bread Sandwich with Chutney,North India,Breakfast,Weight Loss,234,8,38,5
Khichuri with Ghee and Begun Bhaja,East India,Breakfast,Weight Gain,491,12,64,18
Ragi Dosa with Coconut Chutney,South India,Breakfast,Weight Loss,215,6,35,7
Butter Naan with Dal Makhani,North India,Dinner,Weight Gain,569,15,62,23
Kanda Poha,West India,Breakfast,Weight Loss,249,5,42,5
Mutton Biryani (Hyderabadi Style),West India,Dinner,Weight Gain,628,34,76,28
Grilled Chicken Breast with Broccoli,Pan India,Lunch,Bodybuilding,438,59,9,11
Gujarati Thali,West India,Lunch,Weight Gain,669,16,92,25
Brown Rice with Rajma,North India,Lunch,Weight Loss,357,13,66,6
Curd Rice with Pickle,South India,Dinner,Balanced,316,11,54,7
Prawn Malaikari with Rice,East India,Lunch,Weight Gain,681,32,62,23
Thalipeeth with Dahi,West India,Breakfast,Weight Loss,229,8,40,6
Roasted Makhana and Green Tea,Pan India,Dinner,Health & Wellness,124,2,21,1
Chicken Tikka with Quinoa,Pan India,Lunch,Bodybuilding,531,45,37,13
Pongal with Medu Vada and Filter Coffee,South India,Breakfast,Weight Gain,556,15,52,24
Avocado on Millet Toast,Pan India,Breakfast,Health & Wellness,295,5,28,15
Clear Vegetable Soup with Tofu,Pan India,Dinner,Health & Wellness,183,11,15,7
Soya Chunks Curry with Brown Rice,Pan India,Lunch,Bodybuilding,461,43,58,14
Warm Turmeric Milk with Light Khichdi,Pan India,Dinner,Health & Wellness,288,8,45,7
Sattu Sharbat with Toast,East India,Breakfast,Weight Loss,174,7,33,3
Chira Dahi with Jaggery,East India,Breakfast,Weight Loss,249,7,37,4
Mixed Vegetable Sabzi with Roti,North India,Lunch,Weight Loss,296,8,44,6
Avocado on Millet Toast,Pan India,Breakfast,Health & Wellness,310,5,29,16
Dal Fry with Jeera Rice,North India,Dinner,Balanced,440,12,56,10
Soya Chunks Curry with Brown Rice,Pan India,Lunch,Bodybuilding,457,39,54,16
Mutton Biryani,North India,Lunch,Weight Gain,628,40,71,30
Whey Protein Shake with Oats and Banana,Pan India,Breakfast,Bodybuilding,412,36,44,4
White Rice with Chicken Chettinad and Curd,South India,Lunch,Weight Gain,589,33,53,24
Brown Rice with Rasam and Cabbage Poriyal,South India,Lunch,Weight Loss,342,11,58,5
Paneer Lababdar with Naan,North India,Lunch,Weight Gain,546,23,74,22
Millet Sambar Rice,South India,Lunch,Weight Loss,402,13,59,6
Sprouted Matki Usal,West India,Breakfast,Weight Loss,176,8,25,3
Paratha with Egg Bhurji,East India,Breakfast,Weight Gain,434,16,52,22
Khichdi with Ghee (Small),North India,Dinner,Weight Loss,268,9,44,8
Sol Kadhi with Rice,West India,Dinner,Weight Loss,237,7,39,8
Lemon Rice with Curd,South India,Dinner,Balanced,354,8,71,9
Ven Pongal with Ghee,South India,Breakfast,Weight Gain,431,10,58,22
White Rice with Chicken Chettinad and Curd,South India,Lunch,Weight Gain,662,34,63,24
Dal Shorba with Roti,North India,Dinner,Weight Loss,212,10,31,5
Green Smoothie Spinach Banana Flaxseed,Pan India,Breakfast,Health & Wellness,222,5,36,4
Hyderabadi Chicken Biryani,South India,Lunch,Weight Gain,747,42,72,32
Moong Dal Chilla,North India,Breakfast,Weight Loss,214,12,29,6
South Indian Thali,South India,Lunch,Balanced,462,14,68,11
Beef Roast with Steamed Vegetables,Pan India,Dinner,Bodybuilding,559,48,9,26
Chicken Tikka Salad,Pan India,Dinner,Bodybuilding,309,37,16,16
Brown Bread Sandwich with Chutney,North India,Breakfast,Weight Loss,227,7,34,6
Puri Bhaji,North India,Breakfast,Weight Gain,441,11,56,19
Grilled Vegetables with Raita,North India,Dinner,Weight Loss,203,8,24,7
Fish Recheado with Rice,West India,Dinner,Weight Gain,647,32,64,23
Cottage Cheese Salad with Seeds,Pan India,Dinner,Bodybuilding,400,28,13,19
Fish Curry with White Rice,South India,Lunch,Weight Gain,575,34,61,17
Hyderabadi Chicken Biryani,South India,Lunch,Weight Gain,787,38,70,32
6 Boiled Eggs (4 Whites 2 Whole),Pan India,Breakfast,Bodybuilding,371,30,2,19
Fish Curry with White Rice,South India,Lunch,Weight Gain,522,30,69,18
Grilled Chicken Breast with Broccoli,Pan India,Lunch,Bodybuilding,463,52,9,12
Shrikhand Puri,West India,Breakfast,Weight Gain,606,11,80,19
Fresh Coconut Water with 2 Bananas,Pan India,Breakfast,Health & Wellness,246,2,60,1
Tuna Salad with Whole Wheat Bread,Pan India,Lunch,Bodybuilding,378,43,28,10
Paneer Tikka 250g with Mint Chutney,Pan India,Dinner,Bodybuilding,447,40,11,24
Pesarattu with Ginger Chutney,South India,Breakfast,Weight Loss,209,10,30,3
Curd Rice with Pickle,South India,Dinner,Balanced,382,10,62,7
Tuna Salad with Whole Wheat Bread,Pan India,Lunch,Bodybuilding,448,36,29,13
Beef Roast with Steamed Vegetables,Pan India,Dinner,Bodybuilding,500,54,10,25
Paneer Lababdar with Naan,North India,Lunch,Weight Gain,576,20,71,22
Bisi Bele Bath,South India,Lunch,Balanced,439,14,68,10
Egg White Omelette with Vegetables,Pan India,Breakfast,Bodybuilding,269,25,6,13
Papaya and Chia Seeds Bowl,Pan India,Breakfast,Health & Wellness,167,3,38,5
Mutton Biryani,North India,Lunch,Weight Gain,716,39,80,26
Sol Kadhi with Rice,West India,Dinner,Weight Loss,234,8,35,7
Vegetable Poha,North India,Breakfast,Weight Loss,230,5,37,4
Beef Roast with Steamed Vegetables,Pan India,Dinner,Bodybuilding,459,49,8,23
Puran Poli with Amti,West India,Lunch,Balanced,437,10,71,12
Beef Roast with Steamed Vegetables,Pan India,Dinner,Bodybuilding,553,46,9,23
Thekua with Masala Chai,East India,Breakfast,Balanced,310,6,49,11
Lemon Rice with Curd,South India,Dinner,Balanced,421,7,67,9
Sattu Sharbat with Toast,East India,Breakfast,Weight Loss,181,9,31,3
Mutton Rezala with Roti,East India,Dinner,Weight Gain,630,30,47,26
Mutton Korma with Roti,North India,Dinner,Weight Gain,479,29,41,23
Bisi Bele Bath,South India,Lunch,Balanced,468,13,60,13
Greek Yogurt with Nuts and Honey,Pan India,Breakfast,Health & Wellness,285,15,30,12
Tandoori Paneer Tikka with Salad,North India,Dinner,Weight Loss,254,16,9,12
Warm Turmeric Milk with Light Khichdi,Pan India,Dinner,Health & Wellness,297,8,40,7
Soya Milk with Oats Porridge,Pan India,Breakfast,Bodybuilding,321,26,45,8
Kadhi Pakora with Rice,North India,Dinner,Balanced,460,13,63,13
Macher Jhol with Rice and Papadam,East India,Dinner,Weight Gain,540,28,60,19
Mung Bean Salad with Olive Oil,Pan India,Lunch,Health & Wellness,229,13,26,7
Luchi with Alur Dom,East India,Breakfast,Weight Gain,508,8,71,19
Moong Dal Khichdi,East India,Breakfast,Weight Loss,237,11,37,5
South Indian Thali,South India,Lunch,Balanced,458,15,67,11
Tandoori Paneer Tikka with Salad,North India,Dinner,Weight Loss,251,16,10,12
Rice with Mutton Kosha,East India,Lunch,Weight Gain,810,39,81,30
Ven Pongal with Ghee,South India,Breakfast,Weight Gain,443,12,54,22
Rice with Chole and Paneer Butter Masala,North India,Lunch,Weight Gain,651,22,71,26
Avocado on Millet Toast,Pan India,Breakfast,Health & Wellness,300,6,29,13
Rice with Chole and Paneer Butter Masala,North India,Lunch,Weight Gain,568,21,76,25
Paneer Tikka Masala with Jeera Rice,North India,Dinner,Weight Gain,597,23,57,18
Brown Rice with Rajma,North India,Lunch,Weight Loss,388,13,65,7
Rice with Chole and Paneer Butter Masala,North India,Lunch,Weight Gain,569,18,71,23
Tomato Shorba with Roti,East India,Dinner,Weight Loss,231,5,30,4
Apple with Peanut Butter on Rice Cakes,Pan India,Dinner,Health & Wellness,264,7,32,10
Grilled Chicken Breast with Broccoli,Pan India,Lunch,Bodybuilding,415,60,10,11
Idli with Sambar,South India,Dinner,Weight Loss,194,7,39,3
Soya Chunks Curry with Brown Rice,Pan India,Lunch,Bodybuilding,467,41,53,13
Crab Masala with Rice,South India,Dinner,Weight Gain,548,32,59,23
Lamb Vindaloo with Rice,West India,Dinner,Weight Gain,616,35,71,24
Quinoa Salad with Vegetables,Pan India,Lunch,Health & Wellness,312,10,37,8
Warm Turmeric Milk with Light Khichdi,Pan India,Dinner,Health & Wellness,308,8,41,8
Batata Vada with Pav,West India,Breakfast,Weight Gain,573,10,76,22
Grilled Chicken Breast with Broccoli,Pan India,Lunch,Bodybuilding,432,59,9,12
Curd Rice with Pickle,South India,Dinner,Balanced,378,10,55,8
Stuffed Capsicum with Raita,North India,Dinner,Balanced,375,11,46,11
Mixed Fruit Bowl Apple Papaya Banana,Pan India,Breakfast,Health & Wellness,214,2,41,1
Andhra Style Mutton Biryani,South India,Lunch,Weight Gain,767,44,72,29
Palak Paneer with 1 Roti,North India,Lunch,Weight Loss,399,18,31,14
Chicken Tikka with Quinoa,Pan India,Lunch,Bodybuilding,445,49,34,12
Dal Fry with Steamed Rice (Small),North India,Lunch,Weight Loss,295,12,52,6
Nachni Dosa with Chutney,West India,Breakfast,Weight Loss,212,6,39,6
Paneer Lababdar with Naan,North India,Lunch,Weight Gain,596,20,68,21
Batata Vada with Pav,West India,Breakfast,Weight Gain,554,9,67,23
Andhra Style Mutton Biryani,South India,Lunch,Weight Gain,690,38,71,25
Papaya and Chia Seeds Bowl,Pan India,Breakfast,Health & Wellness,169,3,36,5
Apple with Peanut Butter on Rice Cakes,Pan India,Dinner,Health & Wellness,245,8,32,10
Thepla with Curd,West India,Breakfast,Balanced,298,9,44,13
Sprouted Moong Salad with Lemon and Cucumber,Pan India,Lunch,Health & Wellness,155,8,23,2
Batata Vada with Pav,West India,Breakfast,Weight Gain,561,10,63,21
Sol Kadhi with Rice,West India,Dinner,Weight Loss,235,7,38,7
Sattu Ka Paratha with Curd,East India,Breakfast,Balanced,358,11,46,9
Puttu with Kadala Curry,South India,Breakfast,Balanced,332,15,49,7
Grilled Chicken Breast with Broccoli,Pan India,Lunch,Bodybuilding,497,50,8,12
Mung Bean Salad with Olive Oil,Pan India,Lunch,Health & Wellness,242,13,26,6
Sprouted Moong Salad with Lemon and Cucumber,Pan India,Lunch,Health & Wellness,154,8,26,2
Dal Dhokli,West India,Lunch,Balanced,365,11,63,10
Dal Fry with Jeera Rice,North India,Dinner,Balanced,403,10,61,9
Chira Dahi with Jaggery,East India,Breakfast,Weight Loss,241,7,37,3
Roasted Makhana and Green Tea,Pan India,Dinner,Health & Wellness,125,3,18,2
Grilled Chicken Breast with Broccoli,Pan India,Lunch,Bodybuilding,482,48,9,11
Tendli Bhaji with Brown Rice,West India,Lunch,Weight Loss,277,8,49,7
Thalipeeth with Dahi,West India,Breakfast,Weight Loss,221,8,40,7
Dalma with Rice,East India,Lunch,Balanced,400,14,67,10
Egg Biryani,East India,Lunch,Weight Gain,585,30,74,24
Fish Recheado with Rice,West India,Dinner,Weight Gain,621,26,62,22
Thepla with Curd,West India,Breakfast,Balanced,345,9,44,11
Paneer Bhurji with Multigrain Toast,Pan India,Breakfast,Bodybuilding,361,31,25,17
Butter Naan with Dal Makhani,North India,Dinner,Weight Gain,517,14,67,23
Herbal Tea with Fruit Salad,Pan India,Dinner,Health & Wellness,163,1,35,1
Tofu Stir Fry with Brown Rice,Pan India,Lunch,Health & Wellness,281,17,38,8
Dal Fry with Jeera Rice,North India,Dinner,Balanced,410,11,66,10
Khichuri with Ghee and Begun Bhaja,East India,Breakfast,Weight Gain,482,11,60,17
Stuffed Capsicum with Raita,North India,Dinner,Balanced,372,11,44,11
Apple with Peanut Butter on Rice Cakes,Pan India,Dinner,Health & Wellness,244,7,37,8
Mutton Biryani,North India,Lunch,Weight Gain,743,35,67,25
Stuffed Capsicum with Raita,North India,Dinner,Balanced,354,12,37,10
Egg Curry with Rice,South India,Dinner,Weight Gain,552,26,51,18
Lauki Soup and Sauteed Veggies,North India,Dinner,Weight Loss,180,6,27,5
Chira Dahi with Jaggery,East India,Breakfast,Weight Loss,217,7,43,4
Lentil Soup with Whole Wheat Bread,Pan India,Lunch,Health & Wellness,273,13,41,5
Warm Turmeric Milk with Light Khichdi,Pan India,Dinner,Health & Wellness,271,9,43,7
Rice with Mutton Kosha,East India,Lunch,Weight Gain,707,39,86,32
Paneer Tikka Masala with Jeera Rice,North India,Dinner,Weight Gain,505,24,63,20
Andhra Style Mutton Biryani,South India,Lunch,Weight Gain,710,39,70,25
Mutton Biryani,North India,Lunch,Weight Gain,720,37,64,24
Mutton Kolhapuri with Rice,West India,Lunch,Weight Gain,598,38,65,28
Puri Bhaji,North India,Breakfast,Weight Gain,480,8,58,22
Hilsa Fish Curry with White Rice,East India,Lunch,Weight Gain,570,27,72,23
Fish Fry with Rice and Dal,East India,Dinner,Balanced,470,28,54,13
Quinoa Salad with Vegetables,Pan India,Lunch,Health & Wellness,273,11,39,8
Mutton Keema with 2 Dry Chapatis,Pan India,Lunch,Bodybuilding,507,45,43,17
Malabar Parotta with Veg Kurma,South India,Dinner,Weight Gain,546,10,65,18
Dal Palak with Grilled Fish,Pan India,Dinner,Bodybuilding,456,40,25,14
Cucumber and Tomato Raita with Mint,Pan India,Dinner,Health & Wellness,149,5,16,5
Brown Rice with Macher Jhol (small portion),East India,Lunch,Weight Loss,318,20,44,9
Andhra Style Mutton Biryani,South India,Lunch,Weight Gain,660,38,63,30
Jowar Bhakri with Zunka,West India,Breakfast,Weight Loss,282,9,46,7
Aloo Paratha with Curd and Butter,North India,Breakfast,Weight Gain,445,10,66,20
Bharli Vangi with Bhakri,West India,Dinner,Weight Loss,287,8,37,11
Mutton Kolhapuri with Rice,West India,Lunch,Weight Gain,693,38,60,30
Oats Idli with Sambar,North India,Breakfast,Weight Loss,279,8,37,5
Chicken Tikka Salad,Pan India,Dinner,Bodybuilding,344,36,15,13
Cottage Cheese Salad with Seeds,Pan India,Dinner,Bodybuilding,339,27,13,23
Egg Bhurji 5 Eggs with Multigrain Toast,Pan India,Lunch,Bodybuilding,436,31,27,23
Puri Bhaji,North India,Breakfast,Weight Gain,484,10,55,20
Dal Fry with Steamed Rice (Small),North India,Lunch,Weight Loss,341,12,55,5
Besan Chilla with Mint Chutney,North India,Breakfast,Weight Loss,247,14,28,5
Paratha with Egg Bhurji,East India,Breakfast,Weight Gain,513,17,53,20
Sattu Ka Paratha with Curd,East India,Breakfast,Balanced,366,11,51,10
Sprouted Moong Salad with Lemon and Cucumber,Pan India,Lunch,Health & Wellness,153,7,22,2
Mosambi Juice with Sprouts Toast,Pan India,Breakfast,Health & Wellness,237,8,40,3
Greek Yogurt with Nuts and Honey,Pan India,Breakfast,Health & Wellness,283,12,28,11
White Rice with Chicken Chettinad and Curd,South India,Lunch,Weight Gain,685,36,57,23
Ven Pongal with Ghee,South India,Breakfast,Weight Gain,475,10,65,20
Rice with Chole and Paneer Butter Masala,North India,Lunch,Weight Gain,613,20,77,27
Thalipeeth with Dahi,West India,Breakfast,Weight Loss,231,9,39,7
Bisi Bele Bath,South India,Lunch,Balanced,470,15,71,11
Khichuri with Ghee and Begun Bhaja,East India,Breakfast,Weight Gain,450,11,60,18
Chicken Curry with Basmati Rice and Ghee,North India,Lunch,Weight Gain,546,38,48,20
Mutton Kolhapuri with Rice,West India,Lunch,Weight Gain,635,33,63,30
Paratha with Egg Bhurji,East India,Breakfast,Weight Gain,472,18,47,22
Batata Vada with Pav,West India,Breakfast,Weight Gain,501,10,75,22
Butter Naan with Dal Makhani,North India,Dinner,Weight Gain,587,16,67,23
Mixed Fruit Bowl Apple Papaya Banana,Pan India,Breakfast,Health & Wellness,217,1,40,1
Kootu with Brown Rice,South India,Lunch,Weight Loss,286,10,55,5
Paratha with Egg Bhurji,East India,Breakfast,Weight Gain,529,18,48,22
Aamras with Puri,West India,Breakfast,Weight Gain,492,8,84,19
Aamti with Rice,West India,Lunch,Weight Loss,336,10,61,6
Thepla with Curd,West India,Breakfast,Balanced,314,9,47,12
Green Smoothie Spinach Banana Flaxseed,Pan India,Breakfast,Health & Wellness,219,5,41,4
Mutton Biryani,North India,Lunch,Weight Gain,714,38,74,27
Clear Vegetable Soup with Tofu,Pan India,Dinner,Health & Wellness,165,11,15,8
Egg Bhurji 5 Eggs with Multigrain Toast,Pan India,Lunch,Bodybuilding,435,31,25,23
Tendli Bhaji with Brown Rice,West India,Lunch,Weight Loss,312,8,53,7
Gujarati Thali,West India,Lunch,Weight Gain,666,18,97,24
Bisi Bele Bath,South India,Lunch,Balanced,416,13,69,12
Brown Bread Sandwich with Chutney,North India,Breakfast,Weight Loss,215,7,37,6
Paratha with Egg Bhurji,East India,Breakfast,Weight Gain,473,15,49,22
Bharli Vangi with Bhakri,West India,Dinner,Weight Loss,304,8,42,13
Watermelon and Mint Juice,Pan India,Breakfast,Health & Wellness,81,1,21,1
Curd Rice with Pickle,South India,Dinner,Balanced,386,11,64,7
Mutton Rezala with Roti,East India,Dinner,Weight Gain,556,31,48,23
Lentil Soup with Whole Wheat Bread,Pan India,Lunch,Health & Wellness,294,12,41,5
Jowar Bhakri with Varan Bhath,West India,Lunch,Weight Loss,328,10,50,6
Vegetable Stew with Brown Rice,East India,Dinner,Weight Loss,302,7,46,7
Gujarati Thali,West India,Lunch,Weight Gain,656,17,97,24
Egg Curry with Rice,South India,Dinner,Weight Gain,508,29,54,18
Puttu with Kadala Curry,South India,Breakfast,Balanced,322,14,53,7
Dalma with Rice,East India,Lunch,Balanced,378,12,56,10
Batata Vada with Pav,West India,Breakfast,Weight Gain,546,8,70,23
Andhra Style Mutton Biryani,South India,Lunch,Weight Gain,664,40,68,31
Palak Soup with Multigrain Toast,Pan India,Lunch,Health & Wellness,195,8,28,6
Thekua with Masala Chai,East India,Breakfast,Balanced,284,6,47,10
Apple with Peanut Butter on Rice Cakes,Pan India,Dinner,Health & Wellness,245,8,34,10
6 Boiled Eggs (4 Whites 2 Whole),Pan India,Breakfast,Bodybuilding,315,27,1,19
Thalipeeth with Dahi,West India,Breakfast,Weight Loss,261,9,36,7
Vegetable Poha,North India,Breakfast,Weight Loss,214,5,41,4
Aloo Paratha with Curd and Butter,North India,Breakfast,Weight Gain,474,9,52,18
Grilled Vegetables with Raita,North India,Dinner,Weight Loss,191,8,23,6
Paneer Tikka 250g with Mint Chutney,Pan India,Dinner,Bodybuilding,445,40,10,24
Aamras with Puri,West India,Breakfast,Weight Gain,601,7,76,18
Besan Chilla with Mint Chutney,North India,Breakfast,Weight Loss,219,13,23,6
Mung Bean Salad with Olive Oil,Pan India,Lunch,Health & Wellness,227,13,29,7
Kachumber Salad with Varan Bhath,West India,Dinner,Balanced,379,10,57,10
Paneer Lababdar with Naan,North India,Lunch,Weight Gain,547,24,62,25
Chira Dahi with Jaggery,East India,Breakfast,Weight Loss,229,7,46,4
Vegetable Stew with Brown Rice,East India,Dinner,Weight Loss,251,8,44,6
Paneer Tikka Masala with Jeera Rice,North India,Dinner,Weight Gain,621,22,67,21
Overnight Oats with Berries,Pan India,Breakfast,Health & Wellness,257,8,46,6
Macher Jhol with Rice and Papadam,East India,Dinner,Weight Gain,493,31,68,17
Millet Sambar Rice,South India,Lunch,Weight Loss,317,10,56,6
Cottage Cheese Salad with Seeds,Pan India,Dinner,Bodybuilding,327,27,12,21
Kanda Poha,West India,Breakfast,Weight Loss,265,5,48,6
Dal Shorba with Roti,North India,Dinner,Weight Loss,235,10,33,4
Appam with Vegetable Stew,South India,Breakfast,Weight Loss,263,4,40,8
Mixed Fruit Bowl Apple Papaya Banana,Pan India,Breakfast,Health & Wellness,209,2,46,1
Aloo Paratha with Curd and Butter,North India,Breakfast,Weight Gain,414,9,56,18
Sattu Ka Paratha with Curd,East India,Breakfast,Balanced,369,11,51,10
Oats Pongal,South India,Breakfast,Weight Loss,228,7,41,5
Stuffed Paratha with Full Fat Curd,North India,Breakfast,Weight Gain,545,14,67,20
Cottage Cheese Salad with Seeds,Pan India,Dinner,Bodybuilding,352,26,12,24
Fish Curry Rohu with Quinoa,Pan India,Dinner,Bodybuilding,475,43,41,10
Fish Fry with Rice and Dal,East India,Dinner,Balanced,446,26,50,12
Mosambi Juice with Sprouts Toast,Pan India,Breakfast,Health & Wellness,236,8,37,3
Khichuri with Ghee and Begun Bhaja,East India,Breakfast,Weight Gain,500,12,60,16
Sprouts Chaat,North India,Breakfast,Weight Loss,178,7,30,2
Mung Bean Salad with Olive Oil,Pan India,Lunch,Health & Wellness,216,11,31,7
Tofu Stir Fry with Brown Rice,Pan India,Lunch,Health & Wellness,318,16,45,7
Brown Rice with Rasam and Cabbage Poriyal,South India,Lunch,Weight Loss,313,10,63,5
Lentil Soup with Whole Wheat Bread,Pan India,Lunch,Health & Wellness,286,12,41,4
Kanda Poha,West India,Breakfast,Weight Loss,241,5,48,6
Mutton Kolhapuri with Rice,West India,Lunch,Weight Gain,627,37,64,29
Jowar Bhakri with Zunka,West India,Breakfast,Weight Loss,294,10,43,7
Multigrain Roti with Dal Tadka,North India,Lunch,Weight Loss,344,13,48,8
Dal Fry with Jeera Rice,North India,Dinner,Balanced,382,12,59,9
Chicken Curry with Basmati Rice and Ghee,North India,Lunch,Weight Gain,598,35,52,19
Chicken Tikka Salad,Pan India,Dinner,Bodybuilding,352,39,13,16
Rice with Chole and Paneer Butter Masala,North India,Lunch,Weight Gain,536,20,81,24
